Air Pollution Score,City MPG,Cmb MPG,Cyl,Displ,Drive,Fuel,Greenhouse Gas Score,Hwy MPG,Model,SmartWay,Stnd,Trans,Underhood ID,Veh Class,Year
7.0,15.0,17.0,6.0,3.7,4WD,Gasoline,4.0,20.0,ACURA MDX,No,U2,Auto-S5,8HNXT03.7PKR,SUV,2008
6.0,15.0,17.0,6.0,3.7,4WD,Gasoline,4.0,20.0,ACURA MDX,No,B5,Auto-S5,8HNXT03.7PKR,SUV,2008
7.0,17.0,19.0,4.0,2.3,4WD,Gasoline,5.0,22.0,ACURA RDX,No,U2,Auto-S5,8HNXT02.3DKR,SUV,2008
6.0,17.0,19.0,4.0,2.3,4WD,Gasoline,5.0,22.0,ACURA RDX,No,B5,Auto-S5,8HNXT02.3DKR,SUV,2008
7.0,16.0,19.0,6.0,3.5,4WD,Gasoline,5.0,24.0,ACURA RL,No,U2,Auto-S5,8HNXV03.5HKR,midsize car,2008
6.0,16.0,19.0,6.0,3.5,4WD,Gasoline,5.0,24.0,ACURA RL,No,B5,Auto-S5,8HNXV03.5HKR,midsize car,2008
7.0,18.0,21.0,6.0,3.2,2WD,Gasoline,6.0,26.0,ACURA TL,Yes,U2,Auto-S5,8HNXV03.5HKR,midsize car,2008
7.0,17.0,20.0,6.0,3.5,2WD,Gasoline,6.0,26.0,ACURA TL,Yes,U2,Auto-S5,8HNXV03.5RKR,midsize car,2008
7.0,18.0,21.0,6.0,3.5,2WD,Gasoline,6.0,27.0,ACURA TL,Yes,U2,Man-6,8HNXV03.5RKR,midsize car,2008
6.0,18.0,21.0,6.0,3.2,2WD,Gasoline,6.0,26.0,ACURA TL,No,B5,Auto-S5,8HNXV03.5HKR,midsize car,2008
6.0,17.0,20.0,6.0,3.5,2WD,Gasoline,6.0,26.0,ACURA TL,No,B5,Auto-S5,8HNXV03.5RKR,midsize car,2008
6.0,18.0,21.0,6.0,3.5,2WD,Gasoline,6.0,27.0,ACURA TL,No,B5,Man-6,8HNXV03.5RKR,midsize car,2008
6.0,19.0,22.0,4.0,2.4,2WD,Gasoline,6.0,28.0,ACURA TSX,No,B5,Man-6,8HNXV02.4FKC,small car,2008
6.0,20.0,23.0,4.0,2.4,2WD,Gasoline,7.0,28.0,ACURA TSX,Yes,B5,Auto-S5,8HNXV02.4FKC,small car,2008
6.0,19.0,22.0,4.0,2.4,2WD,Gasoline,6.0,28.0,ACURA TSX,No,L2,Man-6,8HNXV02.4FKC,small car,2008
6.0,20.0,23.0,4.0,2.4,2WD,Gasoline,7.0,28.0,ACURA TSX,Yes,L2,Auto-S5,8HNXV02.4FKC,small car,2008
6.0,10.0,12.0,12.0,5.9,2WD,Gasoline,0.0,16.0,ASTON MARTIN DB9,No,B5,Man-6,8ASXV05.9803,small car,2008
6.0,11.0,13.0,12.0,5.9,2WD,Gasoline,1.0,18.0,ASTON MARTIN DB9,No,B5,Auto-S6,8ASXV05.9803,small car,2008
6.0,10.0,12.0,12.0,5.9,2WD,Gasoline,0.0,16.0,ASTON MARTIN DB9,No,L2,Man-6,8ASXV05.9803,small car,2008
6.0,11.0,13.0,12.0,5.9,2WD,Gasoline,1.0,18.0,ASTON MARTIN DB9,No,L2,Auto-S6,8ASXV05.9803,small car,2008
6.0,10.0,12.0,12.0,5.9,2WD,Gasoline,0.0,16.0,ASTON MARTIN DB9 Volante,No,B5,Man-6,8ASXV05.9803,small car,2008
6.0,11.0,13.0,12.0,5.9,2WD,Gasoline,1.0,17.0,ASTON MARTIN DB9 Volante,No,B5,Auto-S6,8ASXV05.9803,small car,2008
6.0,10.0,12.0,12.0,5.9,2WD,Gasoline,0.0,16.0,ASTON MARTIN DB9 Volante,No,L2,Man-6,8ASXV05.9803,small car,2008
6.0,11.0,13.0,12.0,5.9,2WD,Gasoline,1.0,17.0,ASTON MARTIN DB9 Volante,No,L2,Auto-S6,8ASXV05.9803,small car,2008
6.0,12.0,15.0,8.0,4.3,2WD,Gasoline,3.0,19.0,ASTON MARTIN V8 Vantage,No,B5,Man-6,8ASXV04.3305,small car,2008
6.0,13.0,15.0,8.0,4.3,2WD,Gasoline,3.0,20.0,ASTON MARTIN V8 Vantage,No,B5,Auto-S6,8ASXV04.3305,small car,2008
6.0,12.0,15.0,8.0,4.3,2WD,Gasoline,3.0,19.0,ASTON MARTIN V8 Vantage,No,L2,Man-6,8ASXV04.3305,small car,2008
6.0,13.0,15.0,8.0,4.3,2WD,Gasoline,3.0,20.0,ASTON MARTIN V8 Vantage,No,L2,Auto-S6,8ASXV04.3305,small car,2008
7.0,21.0,24.0,4.0,2.0,2WD,Gasoline,7.0,29.0,AUDI A3,Yes,U2,Man-6,8ADXV02.0366,station wagon,2008
7.0,22.0,25.0,4.0,2.0,2WD,Gasoline,7.0,29.0,AUDI A3,Yes,U2,Auto-S6,8ADXV02.0366,station wagon,2008
6.0,21.0,24.0,4.0,2.0,2WD,Gasoline,7.0,29.0,AUDI A3,Yes,B5,Man-6,8ADXV02.0366,station wagon,2008
6.0,22.0,25.0,4.0,2.0,2WD,Gasoline,7.0,29.0,AUDI A3,Yes,B5,Auto-S6,8ADXV02.0366,station wagon,2008
6.0,18.0,21.0,6.0,3.2,4WD,Gasoline,6.0,25.0,AUDI A3,No,B5,Auto-S6,8VWXV03.2535,station wagon,2008
6.0,18.0,21.0,6.0,3.2,4WD,Gasoline,6.0,25.0,AUDI A3,No,L2,Auto-S6,8VWXV03.2535,station wagon,2008
7.0,21.0,24.0,4.0,2.0,2WD,Gasoline,7.0,30.0,AUDI A4,Yes,U2,Auto-AV,8ADXV02.0352,small car,2008
6.0,21.0,24.0,4.0,2.0,2WD,Gasoline,7.0,30.0,AUDI A4,Yes,B5,Auto-AV,8ADXV02.0352,small car,2008
6.0,15.0,19.0,6.0,3.1,4WD,Gasoline,5.0,25.0,AUDI A4,No,B5,Man-6,8ADXV03.1374,small car,2008
6.0,17.0,20.0,6.0,3.1,4WD,Gasoline,6.0,25.0,AUDI A4,No,B5,Auto-S6,8ADXV03.1374,small car,2008
6.0,18.0,21.0,6.0,3.1,2WD,Gasoline,6.0,27.0,AUDI A4,No,B5,Auto-AV,8ADXV03.1374,small car,2008
6.0,15.0,19.0,6.0,3.1,4WD,Gasoline,5.0,25.0,AUDI A4,No,L2,Man-6,8ADXV03.1374,small car,2008
6.0,17.0,20.0,6.0,3.1,4WD,Gasoline,6.0,25.0,AUDI A4,No,L2,Auto-S6,8ADXV03.1374,small car,2008
6.0,18.0,21.0,6.0,3.1,2WD,Gasoline,6.0,27.0,AUDI A4,No,L2,Auto-AV,8ADXV03.1374,small car,2008
